ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0010948	negative regulation of cell cycle process	119/4549	318/18860	0.374213836477987	1.55147789755437	5.5917235311141	6.69581217485738e-08	3.20536644946393e-06	2.21698661483316e-06	APBB1/APBB2/ATF5/ATR/AURKB/AVEN/BARD1/BIRC5/BLM/BMP7/BRCA1/BRCA2/BRIP1/BRSK1/BUB1/BUB1B/BUB3/CCL2/CCNB1/CCNF/CDC20/CDC45/CDC6/CDCA8/CDK1/CDK2/CDK5RAP3/CDT1/CENPF/CHEK1/CHEK2/CLSPN/CSNK2A1/CTDSPL/DCUN1D3/DLG1/DNA2/DONSON/DTL/DUSP1/E2F1/E2F7/E2F8/EME1/ESPL1/EZH2/FAM107A/FANCD2/FBXO43/FBXO5/FHL1/GEN1/GNB1L/GPER1/GPNMB/GTPBP4/H2AX/HASPIN/HORMAD1/INCENP/INTS7/JADE1/KANK2/KAT2A/KAT2B/KLF4/KNL1/KNTC1/LIF/MAD2L1/MAD2L2/MSH2/MTBP/MUC1/NABP2/NAE1/NDC80/NEK2/NSUN2/NUF2/ORC1/OVOL1/PKMYT1/PLK1/PLK3/PRKDC/PRPF19/RAD51/RAD9A/RBBP8/RBL1/RFWD3/RGCC/RHNO1/RNF168/RPS6KA2/SKA1/SKA3/SLFN11/SOX2/SPC24/SPC25/SPDL1/STK33/SUSD2/TICRR/TIMELESS/TIPIN/TMSB4X/TOM1L2/TOPBP1/TRIP13/TTK/USP28/USP44/WDR76/XRCC3/ZWILCH/ZWINT	119
BP	GO:0050767	regulation of neurogenesis	137/4549	378/18860	0.362433862433862	1.50263852396189	5.56556803619076	6.75567665669038e-08	3.20970833034786e-06	2.21998966985188e-06	ADCY10/AMIGO1/ASCL2/ASPM/B2M/BCL11A/BDNF/BMP2/BMP7/BMPR2/BTG2/CAMK2B/CDH1/CDKL5/CHODL/CLCN2/CRABP2/CX3CL1/CX3CR1/CXCL12/DAAM2/DBN1/DIP2B/DLL1/DLL3/DLL4/DLX1/DLX2/DMRTA2/DNAJB11/DPYSL5/DRD2/E2F1/EGR2/EPHA7/EPHB2/EZH2/FEZF1/FGF2/FSTL4/FXR1/FZD4/GATA2/GPER1/HAP1/HDAC1/HDAC2/HES1/HES2/HES6/HEY1/HEYL/HLTF/HMGA2/HMGB2/HOXB3/ID2/ID4/IDH2/IL1B/IL6/IL6ST/ITPKA/KDM1A/L1CAM/LDLR/LEF1/LHX2/LIF/LIMK1/LPAR3/LRP2/LRP4/LRP8/MACF1/MAP1B/MAP3K13/MAP6/MDK/MME/MT3/MYCN/MYRF/NEFL/NEGR1/NEURL1/NKX6-1/NRP1/NTN1/NTRK2/NUMBL/OTP/PAK1/PLAG1/PLXNB3/PLXND1/PTPRS/PTPRZ1/QKI/RAPGEF2/RASSF10/RGMA/RND2/ROBO2/RTN4R/SEMA3F/SEMA3G/SEMA5A/SERPINE2/SHANK3/SHOX2/SLC7A5/SLIT2/SMO/SORL1/SOX11/SPP1/TENM4/TGM2/TLX2/TNFRSF1B/TP73/TRAK2/TREM2/TRIM11/TRPC6/TRPV2/ULK1/WDR62/WNT2/WNT3/WNT3A/WNT5A/WNT7A/XRCC2/ZEB2/ZNF488	137
BP	GO:0002695	negative regulation of leukocyte activation	86/4549	212/18860	0.405660377358491	1.68185419146651	5.62892707892883	7.60068321531575e-08	3.54684650499562e-06	2.45317075299087e-06	ADGRF5/ARG2/ASCL2/AXL/BANK1/BTK/CD300LF/CD33/CD37/CD69/CD74/CD86/CDKN2A/CLEC12A/CR1/CRTAM/CST7/CTSG/CX3CL1/DAPL1/DLG1/DLG5/FGL2/FGR/FOXJ1/FOXP3/GAL/GPER1/GPNMB/HAVCR2/HLA-DRB1/HLA-E/HLX/HMGB3/ID2/IL20RB/IL2RA/IL31RA/IL4I1/INHA/INPP5D/IRF1/LAPTM5/LDLR/LGALS3/LILRB1/LILRB2/LRRC32/LST1/MDK/MNDA/NRARP/PAG1/PGLYRP3/PLA2G2A/PLA2G5/PRDX2/PTPN22/PTPRC/RHBDD3/RIPOR2/SAMSN1/SCGB1A1/SCRIB/SDC4/SFTPD/SMAD7/SOX11/SPN/STAT5A/TBC1D10C/TBX21/TNFAIP8L2/TNFRSF21/TNFSF18/TNFSF4/TSPAN32/TYROBP/USP5/VSIG4/VSIR/VTCN1/XCL1/YWHAG/ZBTB46/ZC3H8	86
BP	GO:0060541	respiratory system development	92/4549	231/18860	0.398268398268398	1.65120729640404	5.61452195367228	7.61775241567395e-08	3.54684650499562e-06	2.45317075299087e-06	ABCA12/ABCA3/ADA/ADAMTSL2/AIMP2/ALDH1A2/BASP1/BMP2/BMPR2/CCBE1/CCDC40/CCN2/CLCN2/CLDN18/COL3A1/CRISPLD2/CTSH/DISP1/DLG5/DLX5/DNAAF1/DNAAF3/EDN2/EPAS1/EVA1A/FGF18/FGF2/FGF7/FLT4/FOXF1/FOXJ1/GATA6/GLI2/GRHL2/HEG1/HES1/HHIP/HMGA2/HMGCS2/HOPX/HOXA5/HS6ST1/HSD11B1/IGFBP5/KDR/KLF2/LAMA1/LEF1/LIF/LIPA/LTA4H/MME/MMP12/MMP14/MSC/MYCN/NKX2-1/PITX2/PKDCC/RARA/RARG/RBP4/RCN3/RDH10/RSPO2/RXFP1/SFTPD/SIM2/SIX1/SIX4/SLC7A11/SMPD3/SOX11/SOX9/SPRY1/STRA6/TBX2/TBX4/TBX5/TCF21/TGFBR2/THRA/TIMELESS/TMEM38B/TNC/TP73/VANGL2/WNT2/WNT5A/WNT7B/YWHAZ/ZFPM2	92
BP	GO:0061035	regulation of cartilage development	40/4549	76/18860	0.526315789473684	2.18208744547674	5.82163092649675	7.6336623623897e-08	3.54684650499562e-06	2.45317075299087e-06	ACVRL1/ADAMTS12/AXIN2/BMP2/BMP6/BMPR2/CCN1/CCN2/CCN4/EFEMP1/FGF18/FRZB/GREM1/HOXA11/KAT2A/LEP/LOXL2/MDK/NKX3-2/NR5A2/PKDCC/PRKG2/PTHLH/RARA/RARG/RFLNA/RFLNB/RUNX2/SCX/SHOX2/SIX2/SMAD7/SMPD3/SNAI2/SOX9/TAPT1/TGFB2/TRPS1/WNT5A/ZBTB16	40
BP	GO:0003018	vascular process in circulatory system	108/4549	283/18860	0.381625441696113	1.58220616187925	5.56371061002159	8.38065148635396e-08	3.86549903228253e-06	2.67356626748687e-06	ABCB1/ABCC1/ABCC2/ABCC5/ABCC9/ABCG2/ACE/ADM/ADORA2B/ADRA1B/ADRA2B/ADRB1/ADRB2/AGER/AGTR1/AGTR2/AKAP12/ANGPT1/APLN/ATP1A2/ATP1B2/ATP8A1/AVPR2/BMP6/BMPR2/C2CD4A/C2CD4B/CAV1/CD36/CDH5/CLDN5/DDAH1/DOCK4/EDN1/EDN2/EDNRA/EDNRB/F2RL1/FERMT2/FGG/FLVCR2/GAB1/GCLC/GCLM/GJA5/GPER1/GPR4/GUCY1A1/HBB/HTR7/IRAG1/ITGA1/ITGA9/KAT2B/KCNJ8/KEL/KLF2/LEP/LEPR/LRP1/LRP2/MFSD2A/NPPC/NPR1/NTS/OCLN/P2RX1/P2RY1/PDE2A/PECAM1/PRKG1/RAMP2/RGS2/SCNN1B/SH3GL2/SLC15A2/SLC16A1/SLC19A1/SLC1A1/SLC1A4/SLC1A5/SLC22A1/SLC22A3/SLC29A4/SLC2A1/SLC38A1/SLC4A3/SLC4A4/SLC5A6/SLC6A20/SLC6A4/SLC7A1/SLC7A2/SLC7A5/SLC7A8/SLC8A1/SLCO2B1/SLIT2/SVEP1/TBXA2R/TBXAS1/TEK/TFRC/TJP1/TJP3/TRPV4/VSTM4/ZEB2	108
BP	GO:0030324	lung development	83/4549	203/18860	0.408866995073892	1.69514871995902	5.61419054421537	8.46080514369518e-08	3.87419041326158e-06	2.67957764733962e-06	ABCA12/ABCA3/ADA/ADAMTSL2/AIMP2/ALDH1A2/BMP2/BMPR2/CCBE1/CCDC40/CCN2/CLCN2/CLDN18/COL3A1/CRISPLD2/CTSH/DLG5/DNAAF1/DNAAF3/EDN2/EPAS1/EVA1A/FGF18/FGF2/FGF7/FLT4/FOXF1/FOXJ1/GATA6/GLI2/GRHL2/HEG1/HES1/HHIP/HMGA2/HMGCS2/HOPX/HOXA5/HS6ST1/HSD11B1/IGFBP5/KDR/KLF2/LAMA1/LIF/LIPA/LTA4H/MME/MMP12/MMP14/MYCN/NKX2-1/PITX2/PKDCC/RBP4/RCN3/RDH10/RSPO2/RXFP1/SFTPD/SIM2/SLC7A11/SMPD3/SOX11/SOX9/SPRY1/STRA6/TBX2/TBX4/TBX5/TCF21/TGFBR2/THRA/TIMELESS/TMEM38B/TNC/TP73/VANGL2/WNT2/WNT5A/WNT7B/YWHAZ/ZFPM2	83
BP	GO:0003012	muscle system process	168/4549	485/18860	0.34639175257732	1.43612847957974	5.48597659782519	8.55942647661967e-08	3.89115222343595e-06	2.69130925641233e-06	ABCC9/ACACB/ADA/ADCY10/ADGRD1/ADORA2B/ADRA1B/ADRA2B/ADRB2/AKAP6/ALDOA/ANK2/ANKRD2/ANXA6/APBB1/APBB2/APLN/APLNR/ARG2/ARRB1/ARRB2/ASB2/ATP1A2/ATP2A1/ATP2A2/CA3/CACNA1C/CACNA1H/CACNA2D1/CAMK2B/CASQ2/CAV1/CCDC78/CERT1/CFLAR/CHGA/CHRM3/CHRNB4/CLIC2/CNN1/COL14A1/DDIT3/DES/DLG1/DOCK4/DRD2/DSC2/DSG2/DSP/EDN1/EDN2/EDNRA/EDNRB/ENO1/EZH2/FBXO32/FGF12/FOXP1/G6PD/GALR2/GAMT/GATA5/GATA6/GATM/GDNF/GJA5/GLRX3/GPD1L/GPER1/GSTM2/GTF2IRD1/GUCY1A1/HDAC2/HMOX1/HTR7/IGFBP5/IL1B/IL1R1/IL6ST/IRAG1/ITGA2/JPH2/JPH3/JPH4/JSRP1/JUP/KCND2/KCNJ5/KCNJ8/KCNQ1/KLF15/KLF4/LEP/LMCD1/LMOD1/LTB4R/MB/MYH11/MYL6B/MYL9/MYLK/MYOC/MYOD1/MYOZ1/NDUFS6/NKX2-5/NMU/NMUR1/NPNT/NR4A3/NUP155/P2RX1/P2RY1/PABPN1/PAK1/PARP1/PARP2/PDE4D/PDGFB/PI16/PIK3CG/PKP2/PLN/PPARG/PPP1R12B/PPP1R13L/PRKD1/PRKG1/PROK2/RCSD1/REM1/RGS2/RNF207/RYR1/RYR2/SCN4B/SCN7A/SCN8A/SCNN1B/SCO2/SGCA/SGCD/SLC6A8/SLC8A1/SLN/SMAD7/SNTB1/SORBS2/SPHK1/STAC/STAC3/SULF1/SULF2/SYNM/TBX2/TBXA2R/TMEM38B/TMOD1/TNFRSF1B/TNNC1/TNNI1/TNNI3/TNNT1/TOMM70/TRPA1/TRPV4/TWF1/UTRN	168
BP	GO:0007093	mitotic cell cycle checkpoint signaling	61/4549	136/18860	0.448529411764706	1.85958775684378	5.67208417109669	8.99109664197314e-08	4.05819569147345e-06	2.806844605825e-06	ATR/AURKB/BARD1/BIRC5/BLM/BRCA1/BRSK1/BUB1/BUB1B/BUB3/CCNB1/CDC20/CDC6/CDCA8/CDK1/CDK2/CDK5RAP3/CENPF/CHEK1/CHEK2/CLSPN/DONSON/DTL/DUSP1/EME1/FANCD2/GEN1/HASPIN/INCENP/KNL1/KNTC1/MAD2L1/MAD2L2/MSH2/MUC1/NABP2/NAE1/NDC80/NUF2/ORC1/PLK1/PLK3/PRKDC/RAD9A/RBBP8/RFWD3/SKA1/SKA3/SPC24/SPC25/SPDL1/STK33/TICRR/TIPIN/TOPBP1/TRIP13/TTK/USP44/XRCC3/ZWILCH/ZWINT	61
BP	GO:0006909	phagocytosis	98/4549	251/18860	0.390438247011952	1.61874375437358	5.56376116473953	9.16636485394849e-08	4.08530302102323e-06	2.82559334726321e-06	AGER/AHSG/AIF1/ANO6/ANXA3/ARHGAP25/AXL/BIN2/BTK/C2/C3/C4A/C4B/C4BPA/C4BPB/CCL2/CCR2/CD300LF/CD302/CD36/CD47/CD93/CEACAM4/CLCN2/COLEC10/COLEC11/COLEC12/DOCK2/DYSF/ELMO1/ELMO3/F2RL1/FCER1G/FCGR1A/FCGR2A/FCN1/FCN3/FGR/FPR2/FYN/GAS6/GATA2/HCK/ICAM3/ICAM5/IRF8/ITGA2/ITGAL/ITGAM/ITGAV/ITGB2/LBP/LDLR/LEP/LEPR/LIMK1/LRP1/MARCO/MASP1/MEGF10/MSR1/MYO1G/MYO7A/NCF2/NCF4/NCKAP1L/P2RX7/P2RY6/PAK1/PEAR1/PECAM1/PLA2G5/PLPP4/PRKCE/PTPRC/PTX3/RAB11FIP2/RAB20/RAB27A/RAP1A/RAP1GAP/RARA/SFTPA1/SFTPD/SH3BP1/SIRPB1/SLC11A1/SPHK1/SRPX/SYT7/TGM2/THBS1/TIMD4/TLR2/TLR4/TREM2/TYROBP/UNC13D	98
BP	GO:0002285	lymphocyte activation involved in immune response	93/4549	235/18860	0.395744680851064	1.64074404942868	5.57253339548159	9.23550839818848e-08	4.08530302102323e-06	2.82559334726321e-06	ADA/APBB1IP/ASCL2/ATAD5/C17orf99/CD1C/CD244/CD40LG/CD69/CD74/CD81/CD86/CLEC4E/CR1/DLL1/DOCK10/DOCK11/ENTPD7/EXO1/EXOSC3/F2RL1/FCER1G/FCGR3A/FGL2/FOXP1/FOXP3/GAPT/GPR65/HAVCR2/HLA-DMB/HLA-DRA/HLA-DRB1/HLX/HMCES/HSPD1/ICAM1/IFNE/IL12RB1/IL12RB2/IL18R1/IL23A/IL6/IL6R/IL6ST/IRF8/ITGAL/ITM2A/JUNB/KMT5C/LCP1/LEF1/LGALS3/LILRB1/MAD2L2/MDK/MFNG/MSH2/MSH6/NCKAP1L/NFKBIZ/NKG7/NKX2-3/NLRP3/NSD2/OPA1/PCYT1A/PGLYRP3/PLCL2/PMS2/POU2AF1/PRKCZ/PTGER4/PTPRC/RAB27A/RARA/RNF168/RORC/SLC11A1/SMAD7/SOCS3/SPI1/SPN/STAT5A/TBX21/TFRC/TLR4/TNFSF13/TNFSF18/TNFSF4/TREM2/TYROBP/UNC13D/UNG	93
BP	GO:0071622	regulation of granulocyte chemotaxis	31/4549	53/18860	0.584905660377358	2.42499906676566	5.85699779133878	9.24510732720875e-08	4.08530302102323e-06	2.82559334726321e-06	BST1/C1QBP/C3AR1/C5AR1/C5AR2/CCL2/CCL21/CD74/CMKLR1/CSF1/CSF1R/CXCL17/DAPK2/DPP4/EDN1/IL23A/JAM3/LBP/MDK/MPP1/NCKAP1L/PERP/RARRES2/RIPOR2/S100A14/S100A7/SLIT2/THBS1/TNFSF18/TRPV4/XCL1	31
BP	GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	85/4549	210/18860	0.404761904761905	1.67812915449759	5.5714078697664	1.01413735847264e-07	4.45023192235321e-06	3.07799584238188e-06	ADA/AGER/ASCL2/ATAD5/B2M/BTK/C17orf99/C3/C4BPA/C4BPB/CCR2/CD1C/CD1E/CD4/CD55/CD69/CD81/CLC/CR1/EPHB2/EXOSC3/FADD/FCER1G/FCGR1A/FOXJ1/FOXP3/FZD5/HAVCR2/HLA-DRA/HLA-DRB1/HLA-E/HLX/HMCES/HSPD1/IL12RB1/IL18R1/IL1B/IL1R1/IL1RL1/IL20RB/IL23A/IL33/IL4I1/IL6/IL7R/JUNB/KMT5C/LILRB1/MAD2L2/MEF2C/MSH2/NCKAP1L/NFKBIZ/NLRP3/NSD2/OPA1/P2RX7/PMS2/PRKCQ/PRKCZ/PTPRC/RAET1G/RAET1L/RSAD2/SASH3/SECTM1/SLC11A1/SMAD7/SPN/STAT5A/SUSD4/TBX21/TFRC/TNFRSF1B/TNFSF13/TNFSF18/TNFSF4/TREM2/ULBP2/ULBP3/USP5/WAS/XCL1/YWHAG/ZP3	85
BP	GO:0030323	respiratory tube development	84/4549	207/18860	0.405797101449275	1.6824210449183	5.56603005189471	1.05291195326747e-07	4.56895410431843e-06	3.16010985101409e-06	ABCA12/ABCA3/ADA/ADAMTSL2/AIMP2/ALDH1A2/BMP2/BMPR2/CCBE1/CCDC40/CCN2/CLCN2/CLDN18/COL3A1/CRISPLD2/CTSH/DLG5/DNAAF1/DNAAF3/EDN2/EPAS1/EVA1A/FGF18/FGF2/FGF7/FLT4/FOXF1/FOXJ1/GATA6/GLI2/GRHL2/HEG1/HES1/HHIP/HMGA2/HMGCS2/HOPX/HOXA5/HS6ST1/HSD11B1/IGFBP5/KDR/KLF2/LAMA1/LIF/LIPA/LTA4H/MME/MMP12/MMP14/MYCN/NKX2-1/PITX2/PKDCC/RBP4/RCN3/RDH10/RSPO2/RXFP1/SFTPD/SIM2/SLC7A11/SMPD3/SOX11/SOX9/SPRY1/STRA6/TBX2/TBX4/TBX5/TCF21/TGFBR2/THRA/TIMELESS/TMEM38B/TNC/TP73/TRAF4/VANGL2/WNT2/WNT5A/WNT7B/YWHAZ/ZFPM2	84
BP	GO:0045216	cell-cell junction organization	90/4549	226/18860	0.398230088495575	1.65104846538284	5.55132688779067	1.05565326670437e-07	4.56895410431843e-06	3.16010985101409e-06	ACE/ACVRL1/ANK2/APLNR/BMP6/CAV1/CD177/CD9/CDH1/CDH12/CDH2/CDH24/CDH3/CDH5/CDHR3/CLDN1/CLDN10/CLDN16/CLDN18/CLDN2/CLDN20/CLDN23/CLDN5/CNTNAP2/CSF1R/DLG1/DLG5/DSC1/DSG1/DSG2/DSG3/DSP/ECT2/EPB41L3/EPHB2/ESAM/F2RL1/FBF1/FERMT2/FSCN1/FZD5/GJA4/GJA5/GJB1/GJB2/GJB6/GJD3/GPBAR1/GRHL1/GRHL2/HEG1/HOPX/IL1B/INAVA/JAM3/JUP/KPRP/LIMS2/LSR/MARVELD3/MICALL2/MPDZ/MYO1C/NECTIN1/NLGN2/NUMBL/OCLN/PARD3/PARD6B/PECAM1/PERP/PKP1/PKP2/PKP3/POF1B/PTPRO/RAMP2/SMAD7/SNAI1/SNAI2/SVEP1/TBX5/TGFB2/TJP1/TJP3/TLN1/TRPV4/UGT8/WHRN/ZNF703	90
BP	GO:0032609	type II interferon production	56/4549	122/18860	0.459016393442623	1.9030664278584	5.64183399317094	1.14489318648191e-07	4.88822976039134e-06	3.38093635154544e-06	AXL/BTN3A2/C1QBP/CCR2/CD244/CD276/CD47/CEBPG/CR1/CRTAM/DDIT3/F2RL1/FADD/FOXP3/FZD5/GAS6/HAVCR2/HLA-DPA1/HLA-DPB1/HLA-DRB1/HRAS/HSPD1/IL12RB1/IL12RB2/IL18R1/IL1B/IL1R1/IL1RL1/IL20RB/IL23A/IL33/IL36RN/INHA/IRF8/ISL1/LAPTM5/LILRB1/PDE4D/PGLYRP3/PTPN22/RARA/SASH3/SCGB1A1/SCRIB/SLC11A1/SLC7A5/TLR3/TLR4/TLR7/TLR8/TNFSF4/TXK/VSIR/WNT5A/XCL1/ZP3	56
BP	GO:0032649	regulation of type II interferon production	56/4549	122/18860	0.459016393442623	1.9030664278584	5.64183399317094	1.14489318648191e-07	4.88822976039134e-06	3.38093635154544e-06	AXL/BTN3A2/C1QBP/CCR2/CD244/CD276/CD47/CEBPG/CR1/CRTAM/DDIT3/F2RL1/FADD/FOXP3/FZD5/GAS6/HAVCR2/HLA-DPA1/HLA-DPB1/HLA-DRB1/HRAS/HSPD1/IL12RB1/IL12RB2/IL18R1/IL1B/IL1R1/IL1RL1/IL20RB/IL23A/IL33/IL36RN/INHA/IRF8/ISL1/LAPTM5/LILRB1/PDE4D/PGLYRP3/PTPN22/RARA/SASH3/SCGB1A1/SCRIB/SLC11A1/SLC7A5/TLR3/TLR4/TLR7/TLR8/TNFSF4/TXK/VSIR/WNT5A/XCL1/ZP3	56
BP	GO:0002696	positive regulation of leukocyte activation	137/4549	381/18860	0.359580052493438	1.49080672456062	5.45652396922336	1.15660445352234e-07	4.90508962537429e-06	3.3925974503884e-06	ACTL6A/ADA/AGER/AIF1/ATAD5/AXL/B2M/BST1/BTK/CARD11/CAV1/CCL2/CCL21/CCL3/CCR2/CD24/CD276/CD4/CD40LG/CD47/CD55/CD74/CD81/CD83/CD86/CR1/DHPS/DNAJA3/DOCK8/DPP4/EGR3/EPHB2/EXOSC3/FADD/FCGR3A/FOXP3/FYN/GAS6/GLI2/GPR65/HAVCR2/HES1/HHLA2/HLA-DMA/HLA-DMB/HLA-DOA/HLA-DPA1/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DQB1/HLA-DQB2/HLA-DRA/HLA-DRB1/HLA-DRB5/HLA-E/HLX/HMCES/HSPD1/IGFBP2/IL12RB1/IL16/IL1B/IL1RL1/IL1RL2/IL23A/IL2RA/IL33/IL36B/IL4I1/IL6/IL6ST/IL7R/INPP5D/JUND/KMT5C/LBP/LEF1/LEP/LILRB1/LILRB2/LRRK2/MAD2L2/MAP3K8/MDK/MEF2C/MMP14/MSH2/NCKAP1L/NFATC2/NFKBIZ/NLRP3/NR4A3/NR5A2/NSD2/OPA1/PMS2/PRKCQ/PRKCZ/PRKDC/PTPRC/RAG1/RARA/SASH3/SH3KBP1/SIRPB1/SLC7A1/SMARCB1/SOX12/SOX4/SPI1/SPN/STAT5A/TBX21/TCF3/TESPA1/TFRC/TGFBR2/THBS1/TLR4/TNFSF11/TNFSF13/TNFSF14/TNFSF4/TOX/TREM2/TSLP/TYROBP/VSIR/VTCN1/WNT10B/WNT3A/WNT5A/XCL1/YWHAG/ZBTB16/ZP3	137
BP	GO:0044786	cell cycle DNA replication	28/4549	46/18860	0.608695652173913	2.52363156737745	5.83311603667799	1.18772768535879e-07	5.00350082918814e-06	3.46066340323488e-06	ATAD5/BLM/BRCA2/CDC45/CDC7/CDK1/CDT1/DACH1/DBF4/DBF4B/DNA2/DONSON/E2F7/E2F8/FBXO5/FEN1/GINS1/GMNN/LIG1/MCM2/MCM3/MCM4/MCM6/PCNA/RAD51/SENP2/TIPIN/TK1	28
BP	GO:0030282	bone mineralization	58/4549	128/18860	0.453125	1.87864091009013	5.62349921059235	1.19681306905841e-07	5.00838528700669e-06	3.46404173072884e-06	ADGRG6/ADRB2/AHSG/ALOX5/ALPL/ANO6/AXIN2/BMP2/BMP6/BMP7/BMPR2/CCL3/CCN1/CCR1/CLEC3B/COL1A2/CYP27B1/DDR2/FBN2/FGFR3/FGR/FZD9/GPM6B/GREM1/IBSP/KL/LEP/LGR4/MEF2C/MGP/MMP13/NELL1/OSR1/OSR2/P2RX7/PKDCC/PRICKLE1/PTH1R/PTHLH/RFLNA/RFLNB/RSPO2/RUNX2/S1PR1/SGMS2/SLC20A2/SLC8A1/SMPD3/SOX9/SRGN/STATH/SUV39H1/TFAP2A/TMEM119/TMEM38B/TUFT1/TWIST1/WNT10B	58
BP	GO:0000819	sister chromatid segregation	92/4549	233/18860	0.394849785407725	1.63703384321603	5.51634368766439	1.22224992574418e-07	5.08118242156411e-06	3.5143917532478e-06	ACTL6A/ANAPC11/ANAPC7/AURKB/BCL7A/BIRC5/BUB1/BUB1B/BUB3/CCNB1/CDC20/CDC6/CDCA8/CDK1/CDT1/CENPE/CENPF/CENPI/CENPK/CEP97/CHEK2/DLGAP5/DPF1/DRG1/DUSP1/ESPL1/FBXO5/GEN1/HASPIN/HECW2/HSPA1B/INCENP/KAT2B/KIF11/KIF14/KIF15/KIF18A/KIF18B/KIF22/KIF23/KIF2C/KIF4A/KIFC1/KMT5A/KNL1/KNSTRN/KNTC1/MAD2L1/MAD2L2/MAP10/MISP/MYBL2/MZT1/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC80/NEK2/NUF2/NUP62/PLK1/PRICKLE1/PSRC1/RACGAP1/RAN/RCC1/RIPOR2/RMI2/RRS1/SKA1/SKA3/SMARCB1/SMC2/SMC4/SPAG5/SPC24/SPC25/SPDL1/TACC3/TOP2A/TPX2/TRIP13/TTK/TUBG1/UBE2C/UHRF1/USP44/XRCC3/ZWILCH/ZWINT	92
BP	GO:0051983	regulation of chromosome segregation	60/4549	134/18860	0.447761194029851	1.856402752122	5.60906214474334	1.23120096232967e-07	5.08494044507265e-06	3.51699098423995e-06	ACTL6A/ANAPC11/ANAPC7/AURKB/BCL7A/BIRC5/BUB1/BUB1B/BUB3/CCNB1/CDC20/CDC6/CDCA8/CDK1/CENPE/CENPF/CSNK2A1/DLGAP5/DPF1/DUSP1/ESPL1/FBXO5/GEN1/HASPIN/HECW2/HORMAD1/INCENP/KAT2B/KIF2C/KNL1/KNTC1/MAD2L1/MAD2L2/NCAPD2/NCAPD3/NCAPG/NCAPG2/NCAPH/NDC80/NUF2/PLK1/RCC2/RMI2/SKA1/SKA3/SMARCB1/SMC2/SMC4/SMC6/SPC24/SPC25/SPDL1/TACC3/TRIP13/TTK/UBE2C/USP44/XRCC3/ZWILCH/ZWINT	60
BP	GO:0051250	negative regulation of lymphocyte activation	76/4549	183/18860	0.415300546448087	1.7218220061576	5.53202853411303	1.36878729473648e-07	5.61647202301285e-06	3.88462395608055e-06	ARG2/ASCL2/AXL/BANK1/BTK/CD37/CD69/CD74/CD86/CDKN2A/CLEC12A/CR1/CRTAM/CTSG/DAPL1/DLG1/DLG5/FGL2/FGR/FOXJ1/FOXP3/GAL/GPNMB/HAVCR2/HLA-DRB1/HLA-E/HLX/HMGB3/ID2/IL20RB/IL2RA/IL4I1/INHA/INPP5D/IRF1/LAPTM5/LGALS3/LILRB1/LILRB2/LRRC32/LST1/MDK/MNDA/NRARP/PAG1/PGLYRP3/PLA2G2A/PLA2G5/PRDX2/PTPN22/RHBDD3/RIPOR2/SAMSN1/SCGB1A1/SCRIB/SDC4/SFTPD/SMAD7/SOX11/SPN/STAT5A/TBC1D10C/TBX21/TNFAIP8L2/TNFRSF21/TNFSF18/TNFSF4/TSPAN32/TYROBP/USP5/VSIG4/VSIR/VTCN1/XCL1/YWHAG/ZC3H8	76
BP	GO:0007043	cell-cell junction assembly	69/4549	162/18860	0.425925925925926	1.76587446976543	5.5195011736571	1.60425771789234e-07	6.54019646410432e-06	4.52351649893989e-06	ACE/ACVRL1/ANK2/APLNR/CAV1/CD9/CDH1/CDH12/CDH2/CDH24/CDH3/CDH5/CDHR3/CLDN1/CLDN10/CLDN16/CLDN18/CLDN2/CLDN20/CLDN23/CLDN5/CNTNAP2/DLG1/DLG5/DSG1/DSG3/ECT2/EPB41L3/EPHB2/ESAM/FBF1/FSCN1/FZD5/GJA4/GJA5/GJB1/GJB2/GJB6/GJD3/GPBAR1/GRHL2/HOPX/IL1B/JAM3/JUP/LSR/MARVELD3/MICALL2/MPDZ/MYO1C/OCLN/PARD3/PARD6B/PECAM1/PKP1/PKP2/PKP3/POF1B/PTPRO/RAMP2/SMAD7/SNAI1/SNAI2/TBX5/TJP1/TLN1/TRPV4/UGT8/ZNF703	69
