ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0001833	inner cell mass cell proliferation	8/4549	15/18860	0.533333333333333	2.21118194474976	2.64569181999867	0.013866872596275	0.0586904004928747	0.0405931223038981	BRCA2/CHEK1/GINS1/GINS4/NCAPG2/PALB2/PRPF19/SALL4	8
BP	GO:0001886	endothelial cell morphogenesis	8/4549	15/18860	0.533333333333333	2.21118194474976	2.64569181999867	0.013866872596275	0.0586904004928747	0.0405931223038981	AMOTL2/ARHGEF26/CDH5/HEG1/HOXA13/MAGI1/NOTCH4/PECAM1	8
BP	GO:0003198	epithelial to mesenchymal transition involved in endocardial cushion formation	8/4549	15/18860	0.533333333333333	2.21118194474976	2.64569181999867	0.013866872596275	0.0586904004928747	0.0405931223038981	ENG/HEYL/MSX2/SNAI1/SNAI2/TGFB2/TGFBR2/TMEM100	8
BP	GO:0010466	negative regulation of peptidase activity	8/4549	15/18860	0.533333333333333	2.21118194474976	2.64569181999867	0.013866872596275	0.0586904004928747	0.0405931223038981	CR1/FETUB/GAPDH/SERPINB13/SERPINB3/SERPINB4/SPOCK3/TIMP2	8
BP	GO:0010819	regulation of T cell chemotaxis	8/4549	15/18860	0.533333333333333	2.21118194474976	2.64569181999867	0.013866872596275	0.0586904004928747	0.0405931223038981	CCL21/CCR2/CXCL10/CXCL13/S100A7/TNFSF14/WNT5A/XCL1	8
BP	GO:0046541	saliva secretion	8/4549	15/18860	0.533333333333333	2.21118194474976	2.64569181999867	0.013866872596275	0.0586904004928747	0.0405931223038981	AQP1/AQP5/CHRM3/KCNN4/NEGR1/NKX2-3/OPRK1/STATH	8
BP	GO:0060099	regulation of phagocytosis, engulfment	8/4549	15/18860	0.533333333333333	2.21118194474976	2.64569181999867	0.013866872596275	0.0586904004928747	0.0405931223038981	ANO6/C3/CD36/F2RL1/GATA2/ITGA2/NCKAP1L/TREM2	8
BP	GO:0060347	heart trabecula formation	8/4549	15/18860	0.533333333333333	2.21118194474976	2.64569181999867	0.013866872596275	0.0586904004928747	0.0405931223038981	ADAMTS1/ADGRG6/FHL2/HEY1/NKX2-5/RBP4/TEK/TGFBR3	8
BP	GO:0070207	protein homotrimerization	8/4549	15/18860	0.533333333333333	2.21118194474976	2.64569181999867	0.013866872596275	0.0586904004928747	0.0405931223038981	ALOX5AP/ITLN1/P2RX7/PNPT1/SCARA5/SIGMAR1/SLC1A5/STEAP4	8
BP	GO:0070493	thrombin-activated receptor signaling pathway	8/4549	15/18860	0.533333333333333	2.21118194474976	2.64569181999867	0.013866872596275	0.0586904004928747	0.0405931223038981	F2RL1/F2RL2/F2RL3/GP1BA/HPGD/IQGAP2/PLEK/STMN1	8
