category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Environmental Information Processing	Signal transduction	hsa04310	Wnt signaling pathway	65/2425	178/9370	0.365168539325843	1.41098111896212	3.27109554431768	0.00101634406224609	0.0113255772394807	0.00913654304219619	APCDD1L/AXIN2/CACYBP/CAMK2B/CCN4/CCND3/CELSR2/CELSR3/CSNK2A1/DAAM2/DKK1/DKK2/DKK4/DVL3/FRAT1/FRZB/FZD10/FZD4/FZD5/FZD6/FZD7/FZD9/JUN/LEF1/LGR4/MMP7/NFATC2/NKD1/PLCB2/PORCN/PRICKLE1/PRICKLE2/PRICKLE3/PRKCB/RAC3/RNF43/ROR1/ROR2/RSPO1/RSPO2/RSPO3/RSPO4/RUVBL1/SENP2/SFRP2/SFRP5/SOST/SOX17/TBL1X/TBL1XR1/TLL1/VANGL2/VASH1/WIPF3/WNT10B/WNT16/WNT2/WNT3/WNT3A/WNT5A/WNT5B/WNT6/WNT7A/WNT7B/WSCD1	65
Human Diseases	Infectious disease: viral	hsa05166	Human T-cell leukemia virus 1 infection	79/2425	224/9370	0.352678571428571	1.36272091310751	3.24673896120192	0.00103253125830024	0.0113255772394807	0.00913654304219619	ADCY4/ADCY9/ANAPC11/ANAPC7/ATR/B2M/BUB1B/BUB3/CCNA1/CCNA2/CCNB2/CCND3/CCNE1/CCNE2/CD4/CDC20/CDK2/CDK4/CDKN2A/CHEK1/CHEK2/CREB3L1/CSF2/DLG1/E2F1/E2F2/E2F3/EGR1/EGR2/ESPL1/ETS1/FOS/HLA-DMA/HLA-DMB/HLA-DOA/HLA-DPA1/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DQB1/HLA-DQB2/HLA-DRA/HLA-DRB1/HLA-DRB5/HLA-E/HRAS/ICAM1/IL1R1/IL1R2/IL2RA/IL6/ITGAL/ITGB2/JUN/KAT2A/KAT2B/LTBR/MAD2L1/MAP3K3/MMP7/MSX2/NFATC2/NFKBIA/NRP1/POLB/PTTG1/RAN/RANBP1/SLC2A1/SPI1/STAT5A/TCF3/TGFBR2/TGFBR3/TLR2/VDAC3/VEGFD/XPO5/ZFP41	79
Cellular Processes	Cell growth and death	hsa04115	p53 signaling pathway	32/2425	75/9370	0.426666666666667	1.64860481099656	3.33236424691168	0.00111349908370226	0.0115427250362769	0.00931172000227468	ATR/BID/CCNB1/CCNB2/CCND3/CCNE1/CCNE2/CDK1/CDK2/CDK4/CDK6/CDKN2A/CHEK1/CHEK2/CYCS/GADD45B/GTSE1/IGFBP3/PERP/PIDD1/PMAIP1/PPP1R13L/RPRM/RRM2/SERPINB5/SESN1/SESN3/SFN/THBS2/TP63/TPBG/ZNF385B	32
Human Diseases	Infectious disease: bacterial	hsa05133	Pertussis	33/2425	78/9370	0.423076923076923	1.63473433782712	3.32622068556098	0.00111809872146272	0.0115427250362769	0.00931172000227468	C1QA/C1QB/C1QC/C2/C3/C4A/C4B/C4BPA/C4BPB/C5/CALML3/CALML5/CFL2/CXCL5/CXCL6/FOS/GNAI2/IL1B/IL23A/IL6/IRAK1/IRF1/IRF8/ITGAM/ITGB2/JUN/MAPK12/NLRP3/NOD1/SERPING1/SFTPA1/SFTPA2/TLR7	33
Genetic Information Processing	Replication and repair	hsa03430	Mismatch repair	13/2425	23/9370	0.565217391304348	2.18395338413268	3.35914511525143	0.00173310834481195	0.0173806008293999	0.014021237436223	EXO1/LIG1/MSH2/MSH6/PCNA/PMS2/POLD1/POLD2/RFC2/RFC3/RFC4/RFC5/RPA3	13
Environmental Information Processing	Signal transduction	hsa04015	Rap1 signaling pathway	74/2425	212/9370	0.349056603773585	1.34872592880762	3.03471713210594	0.00200920464829901	0.0195897453209153	0.0158033932863284	ADCY4/ADCY9/ADORA2B/ANGPT1/APBB1IP/ARAP3/CALML3/CALML5/CDH1/CNR1/CRKL/CSF1/CSF1R/DOCK4/DRD2/EFNA2/EFNA3/EFNA4/EGF/EGFR/F2RL3/FGF18/FGF19/FGF2/FGF7/FGFR3/FGFR4/FLT1/FLT4/FPR1/GNAI2/GNAQ/HGF/HRAS/IGF1R/ITGAL/ITGAM/ITGB2/KDR/LCP2/LPAR2/LPAR3/LPAR5/MAGI1/MAGI3/MAPK12/MRAS/NGFR/P2RY1/PARD3/PARD6B/PARD6G/PDGFB/PFN2/PGF/PLCB2/PLCE1/PRKCB/PRKCZ/PRKD1/RAC3/RAP1A/RAP1GAP/RAPGEF2/RAPGEF3/RAPGEF4/RAPGEF5/RASGRP2/RASGRP3/RRAS/TEKT1/THBS2/TLR2/VENTX	74
Human Diseases	Cancer: specific types	hsa05217	Basal cell carcinoma	27/2425	63/9370	0.428571428571429	1.6559646539028	3.08682651521142	0.00244359462776228	0.0231811274147178	0.0187006246050655	AXIN2/BAK1/BMP2/DVL3/FZD10/FZD4/FZD5/FZD6/FZD7/FZD9/GADD45B/GLI2/HHIP/KIF7/LEF1/SMO/WNT10B/WNT16/WNT2/WNT3/WNT3A/WNT5A/WNT5B/WNT6/WNT7A/WNT7B/WSCD1	27
Cellular Processes	Cell motility	hsa04814	Motor proteins	68/2425	194/9370	0.350515463917526	1.35436284408545	2.94705816240631	0.00265505513329165	0.0245243250469834	0.0197842058408713	ACTG2/BICDL1/CENPE/DNAH1/DNAH14/DNAH17/DNAH3/DNAH5/DNAI1/DNAI2/DNAI3/DNAI4/DNALI1/DYNC1I1/DYNLRB2/KIF11/KIF13B/KIF14/KIF15/KIF17/KIF18A/KIF18B/KIF19/KIF1A/KIF1C/KIF20A/KIF20B/KIF21A/KIF22/KIF23/KIF24/KIF26B/KIF2C/KIF3C/KIF4A/KIF7/KIF9/KIFC1/KIFC2/KLC2/KLC3/MYH10/MYH11/MYL6B/MYL9/MYO19/MYO1C/MYO1F/MYO1G/MYO3B/MYO5C/MYO7A/MYO9A/STARD9/TNNI1/TNNI3/TNNT1/TNS1/TUBA1C/TUBA3E/TUBA4A/TUBA4B/TUBB/TUBB2A/TUBB2B/TUBB4A/TUBG1/TUFT1	68
Human Diseases	Immune disease	hsa05310	Asthma	16/2425	32/9370	0.5	1.9319587628866	3.12040608748294	0.00289476807757566	0.0260529126981809	0.0210173444768651	CD40LG/FCER1A/FCER1G/HLA-DMA/HLA-DMB/HLA-DOA/HLA-DPA1/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DQB1/HLA-DQB2/HLA-DRA/HLA-DRB1/HLA-DRB5/MS4A2	16
Cellular Processes	Cellular community - eukaryotes	hsa04510	Focal adhesion	70/2425	203/9370	0.344827586206897	1.3323853537149	2.82906318949461	0.00368827017308384	0.0323645707688107	0.0261090704357777	BIRC3/CAV1/CAV2/CCND3/COL1A1/COL1A2/COL2A1/COL4A3/COL4A4/COL4A5/COL4A6/COL6A5/COL6A6/COL9A2/COL9A3/CRKL/EGF/EGFR/EMP1/EMP2/FLT1/FLT4/FYN/HGF/HRAS/IBSP/IGF1R/ITGA1/ITGA10/ITGA11/ITGA2/ITGA6/ITGA7/ITGA8/ITGA9/ITGAV/ITGB4/ITGB8/JUN/KDR/LAMA1/LAMA2/LAMA4/LAMB2/LAMB3/LAMC2/LAMC3/MYL9/MYLK/PAK1/PAK5/PAK6/PARVG/PDGFB/PGF/PIP5K1B/PPP1R12B/PRKCB/RAC3/RAP1A/RASGRF1/SHC3/SPP1/THBS2/THEMIS2/TLR2/TNFAIP8L2/TOM1L2/VENTX/WAS	70
Human Diseases	Endocrine and metabolic disease	hsa04940	Type I diabetes mellitus	20/2425	44/9370	0.454545454545455	1.75632614807873	2.97135207196971	0.00382521381686246	0.0327475621882615	0.0264180363731964	CD86/GAD1/HLA-DMA/HLA-DMB/HLA-DOA/HLA-DPA1/HLA-DPB1/HLA-DQA1/HLA-DQA2/HLA-DQB1/HLA-DQB2/HLA-DRA/HLA-DRB1/HLA-DRB5/HLA-E/HSPD1/IL1B/PRF1/PTPRN/PTPRN2	20
Metabolism	Amino acid metabolism	hsa00330	Arginine and proline metabolism	22/2425	50/9370	0.44	1.70012371134021	2.93304143442698	0.00405178349251183	0.0333902650944381	0.0269365161505589	AGMAT/ALDH18A1/ALDH2/ALDH4A1/ARG2/CKM/CKMT1A/CKMT1B/GAMT/GATM/GOT2/MAOA/MAOB/ODC1/P4HA1/P4HA3/PRODH/PYCR1/PYCR3/SMOX/SMS/SRM	22
Environmental Information Processing	Signaling molecules and interaction	hsa04517	IgSF CAM signaling	98/2425	299/9370	0.327759197324415	1.26643450677516	2.76671769430109	0.00409054529646962	0.0333902650944381	0.0269365161505589	ACTR3B/ANK2/ARPC1A/CABLES1/CABLES2/CADM1/CADM3/CADM4/CASK/CASKIN2/CD244/CD48/CD86/CDH1/CDH2/CNTN1/CNTNAP2/CRTAM/DOK2/EPB41L2/EPB41L3/ESAM/FGG/FYN/GLDN/GRIP1/ICAM1/ICAM2/ICAM3/IL1RAP/INPP5D/ITGAL/ITGAM/ITGAX/ITGB2/JAM2/JAM3/JAML/KDR/KIRREL2/L1CAM/LCP2/LMO7/LRFN4/LRRC4B/MAGI1/MAPK12/MPDZ/MYH10/MYH11/MYL6B/MYL9/MYLK/NCAM2/NECTIN1/NECTIN4/NLGN2/NRCAM/NRP1/NTN1/PAK1/PAK5/PAK6/PARD3/PARD6B/PARD6G/PMP22/PPFIA3/PPFIA4/PRKCB/PRKCQ/PTPRF/PTPRS/PTPRZ1/RAP1A/RAPGEF2/ROBO2/ROBO4/SCN8A/SLIT2/SLIT3/SORBS1/SPTAN1/SPTBN1/SPTBN2/SSX2IP/TJP3/TRPM2/TUBA1C/TUBA3E/TUBA4A/TUBA4B/TUBB/TUBB2A/TUBB2B/TUBB4A/TUBG1/UNC5CL	98
