gene	conMean	treatMean	logFC	pValue	fdr
ALOX5	167.665243137255	25.8440430528376	-2.69767996182547	2.34901791313159e-30	6.56606435718211e-29
ALOX5AP	320.799247058824	44.6542115459883	-2.84480260153476	1.10597826720477e-30	3.70516441328328e-29
ALOXE3	0.0885137254901961	2.16413268101761	4.61174395614778	4.6020352019622e-25	3.31194441693452e-24
ALPK2	0.159347058823529	1.2635602739726	2.98725018925384	1.82012686047664e-20	7.57040441876005e-20
ALPK3	13.0047352941176	3.71302622309198	-1.80836962481837	1.49552101565275e-25	1.16040397886941e-24
ALPL	345.50902745098	62.1058039138943	-2.47592340315583	1.07225955158483e-27	1.21959361465432e-26
ALPP	4.80335294117647	1.90122739726027	-1.33711072236578	5.68886248211781e-27	5.65375288153059e-26
ALX1	0.0953607843137255	3.00122641878669	4.97601225116149	8.24919387735597e-07	1.29638419902436e-06
ALYREF	69.7400333333333	189.251291976517	1.44024419041714	2.47950958391738e-26	2.1980209384418e-25
AMER1	2.89768431372549	7.09029119373777	1.29094444923485	1.74334669274482e-15	4.81131947273395e-15
AMH	0.391039215686275	2.78819119373777	2.83394429231347	1.41770031874178e-06	2.19147836081209e-06
AMIGO1	14.326237254902	5.86814970645793	-1.2876821574482	1.17779865352165e-21	5.55024768628126e-21
AMMECR1	6.83167254901961	18.878284148728	1.46641691232631	2.1068059341499e-25	1.60325711118186e-24
AMN	1.90992745098039	5.80402093933464	1.60353488605741	1.78961289129386e-07	2.94258478204341e-07
AMOTL2	58.4230431372549	26.3522031311155	-1.14861392619947	1.14241397057548e-18	4.03129404514886e-18
AMTN	0.270629411764706	85.4225892367906	8.30215517916953	2.25661435070087e-16	6.64338210833241e-16
AMZ2	30.9401509803922	62.6879798434442	1.01870860203308	5.94282685642494e-22	2.90387641652527e-21
ANAPC11	34.1617490196078	69.614824853229	1.02701272827915	3.26147615454704e-20	1.32351035655364e-19
ANAPC7	16.3255784313725	36.4754772994129	1.15979274784716	4.09844968483714e-26	3.50209931613837e-25
ANG	15.7160117647059	4.53679354207436	-1.79249023996737	6.47973980186991e-29	1.00324929126898e-27
ANGPT1	28.4016254901961	4.1320446183953	-2.78104576301798	7.99980513688705e-30	1.68495115683482e-28
ANGPTL1	13.6203431372549	1.2804397260274	-3.41105180176827	2.66331996854447e-31	1.65706124455157e-29
ANK2	4.51009411764706	1.24043874755382	-1.86230704308017	2.90911194639087e-25	2.15804935729356e-24
ANKDD1B	2.21201764705882	0.889467514677104	-1.31434907401672	6.78113985635082e-18	2.2423026497717e-17
ANKEF1	5.09748235294118	11.3553976516634	1.15552144741179	2.77689995764017e-16	8.11843359205282e-16
ANKK1	0.995223529411765	2.57617749510763	1.37213949692385	4.35712604925638e-07	6.97977679058026e-07
ANKLE1	0.462078431372549	1.85201859099804	2.00288892587163	2.06140004376646e-13	4.90847257096427e-13
ANKRD1	178.736705882353	3.88313385518591	-5.52447069144514	1.86532749121889e-30	5.50327686035724e-29
ANKRD13B	2.82765294117647	15.0423980430528	2.41135761479464	1.1373364544551e-21	5.37270100475798e-21
ANKRD16	4.14500196078431	8.710171037182	1.0713282643833	2.12006261812401e-20	8.75855734617266e-20
ANKRD18A	0.356619607843137	1.54757084148728	2.11754751839274	5.18336869289425e-13	1.20138473343803e-12
ANKRD18B	0.0809980392156863	2.07379921722114	4.67824542671837	2.74014896111378e-23	1.54660330785941e-22
ANKRD2	0.690003921568627	2.75480058708415	1.99727142315918	6.73244547487332e-10	1.28110988521867e-09
ANKRD22	3.38805294117647	18.4134843444227	2.44223432734806	1.40679849846221e-24	9.45875823094537e-24
ANKRD29	33.3973352941176	7.24608747553816	-2.20445887019301	1.70965009484365e-27	1.8735378190328e-26
ANKRD34B	0.0917921568627451	1.14193365949119	3.63696414118969	5.28932246597135e-06	7.89073399039549e-06
ANKRD44	12.3287960784314	3.75064363992172	-1.71682182596333	1.50311758920659e-28	2.10952084946759e-27
ANKS1A	44.1860666666667	21.1524344422701	-1.0627677984412	3.4595415880128e-20	1.4005178704576e-19
ANLN	2.35837254901961	45.3269684931507	4.26450613368153	1.56601523651239e-31	1.57735813812225e-29
ANO5	3.52685490196078	0.792922700587084	-2.15313008886395	9.37462728821836e-27	8.94495040223819e-26
ANO6	70.9320588235294	34.7024399217221	-1.03140072086732	1.32734556420657e-22	6.96482412061908e-22
ANO7	0.6803	1.65520547945205	1.2827673320458	4.74773523399379e-12	1.03636496999434e-11
ANO9	7.12343725490196	15.4739438356164	1.11919548809902	8.57300784686561e-06	1.26206715669537e-05
ANOS1	82.1392431372549	13.2032739726027	-2.6371759395193	1.95418443337259e-28	2.69218816683299e-27
ANPEP	57.9684509803922	17.2490176125245	-1.74875373669196	1.26931790269879e-22	6.67071273037616e-22
ANTXR2	24.5225607843137	11.6350203522505	-1.07563590691915	6.8267224874042e-21	2.97795089830191e-20
ANXA10	0.174466666666667	8.54709726027397	5.61441121060755	2.62478054977914e-09	4.82400792302861e-09
ANXA3	126.479398039216	25.1224412915851	-2.33185383542359	1.48811848241966e-27	1.65358745935373e-26
ANXA6	138.928621568627	54.6548334637965	-1.34592285565089	1.87959972345122e-25	1.44102645464594e-24
ANXA8	5.98781960784314	26.8010671232877	2.16218778103319	2.14385827281249e-11	4.50634135781433e-11
AOC3	260.848305882353	21.0364244618395	-3.6322496463266	1.09008307521013e-31	1.57735813812225e-29
AOX1	21.6591607843137	2.92984324853229	-2.88608195946144	5.12532039712062e-28	6.37759914115442e-27
AP1S1	50.1071392156863	125.761542465753	1.32760274053533	3.90111638144332e-25	2.83776790225573e-24
AP2M1	208.188101960784	526.842876516634	1.33948514213665	8.13397358055671e-25	5.67528564915226e-24
AP3B2	0.32501568627451	3.23282739726027	3.31421522918829	3.42830628061456e-18	1.16003917530269e-17
AP3M2	11.4502529411765	23.8188818003914	1.0567262176794	4.66049843830642e-10	8.96571522023012e-10
