conMean	treatMean	logFC	pValue	fdr
ASRGL1	8.64096274509804	4.09977240704501	-1.07564823843624	5.1991037231549e-19	1.89097789241148e-18
ATF3	178.1927	54.935869667319	-1.69761788422716	3.00899396095033e-15	8.16571406367646e-15
ATOH8	31.6272	2.06737866927593	-3.93529126988579	2.15417311384519e-31	1.615749511668e-29
ATP10A	9.41762941176471	1.72663933463796	-2.44739719294203	1.47004717046686e-29	2.76040044449905e-28
ATP11A	76.3815725490196	17.2679180039139	-2.1451304752271	1.39633006605753e-29	2.64401854443797e-28
ATP13A4	53.3388058823529	7.57829628180039	-2.81524007724089	3.48983987428964e-30	8.88987323448763e-29
ATP1A2	6.83110588235294	0.620722700587084	-3.46009834107112	3.6342213406191e-30	9.14671936664695e-29
ATP1B2	7.22621176470588	1.82792485322896	-1.98303277187578	5.28145995568612e-28	6.55382130473677e-27
ATP2C2	15.2929215686275	7.63033072407045	-1.00304655156904	6.5508135959858e-15	1.73212954092057e-14
ATP6V0D2	4.62257647058824	2.2002626223092	-1.07102145268681	3.84011450496223e-08	6.58019874749271e-08
ATP8A1	22.868031372549	4.37192152641879	-2.38699276383826	8.18591502618522e-29	1.23072092933944e-27
AVPR2	4.1826568627451	0.715833072407045	-2.54672454209515	2.04300430110574e-27	2.20837478536658e-26
AXIN2	16.4412235294118	7.0614217221135	-1.21928708099876	3.23153558037325e-22	1.6225002555422e-21
AXL	75.1839019607843	30.87421037182	-1.28402155229268	1.42717239615658e-21	6.64881108368185e-21
B2M	3324.71609215686	1505.8756260274	-1.14262853046132	1.54364526635709e-21	7.16423332454007e-21
B3GALT2	4.29445490196078	1.11572544031311	-1.94449297083776	3.14317931277821e-23	1.75944646981713e-22
B3GNT7	75.0962705882353	17.4817547945205	-2.1028912549141	2.16140833327136e-28	2.9475994572566e-27
B3GNT8	22.7157490196078	10.0528046966732	-1.17609481266489	7.37412985662412e-21	3.20534858964206e-20
B4GAT1	59.7728725490196	28.4940616438356	-1.06882959394028	8.48110337666882e-23	4.54378478922245e-22
BAIAP3	8.67325098039216	4.09389138943249	-1.08310002952681	4.65163248096335e-08	7.93150923534809e-08
BANK1	13.3363215686275	3.81459354207436	-1.80575955017521	3.58057393706033e-26	3.10278104776967e-25
BATF3	7.47992941176471	3.66606301369863	-1.02879307174958	1.40286418274611e-14	3.61727832911674e-14
BBOF1	6.21360980392157	2.83656281800391	-1.13128783335387	4.23014100704857e-13	9.87227895179996e-13
BCL2A1	88.794968627451	41.6788755381605	-1.09116157632063	1.47203040008738e-20	6.17968981081459e-20
BCL6B	41.7921450980392	6.98507495107632	-2.58088430969418	3.75334516183979e-30	9.28097759918298e-29
BDH2	15.9527254901961	6.24743189823875	-1.35246775147883	9.42154635546077e-28	1.08904364165305e-26
BDNF	3.13428431372549	1.41171859099804	-1.15068352041389	1.99960349563329e-13	4.76635713180527e-13
BEND7	5.67150980392157	2.73847769080235	-1.05035871652966	1.25683869524867e-16	3.78425938515203e-16
BEST1	3.16872156862745	1.28305499021526	-1.3043178936333	3.95675860460328e-25	2.87514520563772e-24
BIN2	25.8374019607843	8.6916530332681	-1.57175852033106	1.45373102602219e-26	1.34799605647841e-25
BIRC3	52.2202784313725	23.0958641878669	-1.17697562078693	2.08646110555928e-16	6.15453602494119e-16
BMP2	79.3878647058824	16.8619199608611	-2.23514967642354	7.09193133256261e-26	5.78889634555268e-25
BMP5	26.6410568627451	5.10235322896282	-2.38441663258505	1.8579987210137e-28	2.57290077583144e-27
BMP6	19.3278607843137	6.15669217221135	-1.65045462598182	1.74377191199411e-21	8.03503910711006e-21
BMPER	5.51912352941176	1.63314481409002	-1.75678645327883	1.95246963951275e-25	1.49519526960077e-24
BMPR2	67.4301941176471	24.9255297455969	-1.43577058415521	1.95898090049479e-24	1.28764367758423e-23
BMX	6.23935294117647	1.75956908023483	-1.8261742655604	3.26534625020472e-24	2.07758211057672e-23
BORCS7	39.1784745098039	14.6761410958904	-1.41658854477458	1.74894217664097e-28	2.43930457921795e-27
BPIFB1	364.195549019608	113.840469863014	-1.67769976912403	2.47180105010249e-07	4.02564841716431e-07
BST1	17.1430333333333	6.54822270058708	-1.38844711345314	1.7564155547711e-23	1.01425861441252e-22
BTBD9	21.978262745098	7.27162015655577	-1.59572860869126	1.9739831807184e-28	2.71392534856203e-27
BTD	8.49636078431373	3.07954422700587	-1.46412818152756	9.95776827081412e-31	3.47392882276035e-29
BTG2	466.909482352941	173.276823874755	-1.43006418420063	1.03301668035696e-21	4.9091017956703e-21
BTK	27.9408823529412	6.80559217221135	-2.03758497579921	1.29923169022852e-29	2.4810417542615e-28
BTN3A2	47.2669019607843	22.7782788649706	-1.05317156787889	7.81592613655779e-18	2.57247242246872e-17
BTN3A3	39.4117411764706	15.6868035225049	-1.32907408154622	5.84543603513731e-24	3.61021188977076e-23
BTNL9	40.3948	4.44230430528376	-3.18478945919562	5.5623798969282e-29	8.83502246922678e-28
C11orf16	6.22715882352941	1.69577514677104	-1.87662918878796	4.88150707210051e-13	1.13329129990566e-12
C11orf21	4.24810588235294	0.995750684931507	-2.09296325312486	9.09932485301935e-26	7.3081490089598e-25
C11orf54	11.1672666666667	5.40443796477495	-1.04705961309321	3.93828821561003e-19	1.4468252843252e-18
C11orf96	139.806829411765	21.4137978473581	-2.70682224359451	1.12848645669163e-26	1.06024326038926e-25
C11orf97	7.60766470588235	0.814578864970646	-3.22332737558049	8.01987627073265e-19	2.87052888470736e-18
C13orf46	11.8500098039216	0.477982974559687	-4.63178521122079	7.33823556237806e-32	1.57735813812225e-29
