conMean	treatMean	logFC	pValue	fdr
AURKB	2.22674509803922	48.3922446183953	4.44176753530019	1.56601523651239e-31	1.57735813812225e-29
AVEN	5.9306568627451	12.8282493150685	1.1130604901755	7.63400809128141e-24	4.6156176999727e-23
B3GALNT2	3.93300980392157	10.5904872798434	1.42906328318256	1.26961600280509e-27	1.42604705939031e-26
B3GALT5	0.181554901960784	1.38925166340509	2.93583017931302	3.25804819704474e-06	4.92105862485611e-06
B3GNT3	2.97020196078431	23.3344301369863	2.97382729843234	1.97918001453676e-16	5.84446836751111e-16
B3GNT4	0.206539215686275	2.32163874755382	3.49065586505788	1.47004717046686e-29	2.76040044449905e-28
B3GNT5	15.3424588235294	45.7393037181996	1.57590469247051	5.15688436234523e-14	1.27374855060415e-13
B4GALNT1	0.383178431372549	7.44170293542074	4.27954453981733	1.33551385023272e-23	7.82586950717592e-23
B4GALNT2	0.230764705882353	2.32092935420744	3.33020811559841	0.000552827239156868	0.000720820877207946
B4GALNT3	15.4125196078431	33.0566792563601	1.10083907442533	0.00204330738694189	0.002555980082563
B4GALNT4	0.420645098039216	26.0821277886497	5.95431422766226	2.30050825794738e-30	6.48416743017695e-29
B4GALT2	18.522568627451	51.265060665362	1.46869172327791	1.53305686764752e-27	1.69654104673026e-26
B4GALT4	7.90683137254902	37.8226223091977	2.25807782933523	9.51580793082107e-28	1.09712145921448e-26
B4GALT6	2.60878039215686	6.32592720156556	1.27790145068714	1.20640349139397e-08	2.13272928339793e-08
BAG4	14.9677431372549	38.5806810176125	1.36602190405584	8.77999179162879e-15	2.29948921782309e-14
BAIAP2L1	20.3756490196078	48.1154792563601	1.23965508503603	4.25096530327303e-22	2.11078641263292e-21
BAIAP2L2	0.841649019607843	9.60178571428571	3.51201210120642	2.30050991033809e-27	2.46893356911562e-26
BAK1	26.4614725490196	57.5205056751468	1.12018301078677	1.22470780635856e-22	6.44379582760987e-22
BARD1	2.9088862745098	7.46869452054795	1.36038919719963	3.64931961612787e-24	2.3077153852207e-23
BARX1	0.0610803921568627	24.770911741683	8.66372193066965	1.8531679961136e-27	2.01284160221478e-26
BARX2	0.832917647058824	14.3839716242661	4.11014441041812	2.02000487702065e-13	4.81328730050402e-13
BASP1	46.7902764705882	150.653389236791	1.68695247117261	5.47639220624839e-10	1.04845109439251e-09
BBOX1	0.87936862745098	4.82040078277887	2.45461313281967	4.79337553878199e-12	1.04615847315059e-11
BCAN	0.260227450980392	2.66703639921722	3.35739245185321	5.93194941762581e-07	9.41316985041914e-07
BCAS4	3.71903529411765	8.1804217221135	1.13724678040883	1.10418436257032e-12	2.50716550341481e-12
BCL11A	0.746921568627451	6.94900587084149	3.21777793553554	3.48259978221387e-25	2.55813817517244e-24
BCL11B	2.72653921568627	9.28238884540117	1.76742522840052	1.0720657032905e-12	2.43874626118366e-12
BCL2L10	0.148070588235294	5.44559412915851	5.20073245271728	7.48318282505741e-28	8.89591060624002e-27
BCL2L12	12.4914529411765	37.5831581213307	1.58914500831576	3.17308541393663e-29	5.34162421116689e-28
BCL7A	9.0788137254902	19.9777050880626	1.13781515842465	4.01883943635338e-17	1.25394849156938e-16
BDH1	2.6813	14.948062035225	2.47895390522422	2.25169220450405e-25	1.70787689902385e-24
BEND3	2.60663529411765	5.46398630136986	1.06776512354212	5.34892625918569e-18	1.78443157515372e-17
BEND6	0.641194117647059	2.82595968688845	2.13990779007144	1.68632592619777e-20	7.03993610530992e-20
BICD2	31.0327490196078	70.1574099804305	1.17680398551087	1.19442643413305e-11	2.5523822866778e-11
BICDL1	4.48426470588235	16.9052727984344	1.91452994904915	2.22579355796789e-23	1.27224550491636e-22
